"id";"extra";"name";"municipality";"province";"river";"tool";"unit";"id_sensor";"lat";"lon";"local_x";"local_y";"z";"dimension"
TOS19000601;0;5A;Cecina;LI;;freatimetro;m;761579;43.3318583264;10.496826009;1621375.9;4798771.82;8.41;0.00
TOS19000601;0;5A;Cecina;LI;;qualita;microS/cm;761585;43.3318583264;10.496826009;1621375.9;4798771.82;8.41;0.00
TOS19000601;0;5A;Cecina;LI;;termometro acqua;�C;761583;43.3318583264;10.496826009;1621375.9;4798771.82;8.41;0.00
TOS11000114;0;Abbadia S. S. - Laghetto Verde;Abbadia S.S.;SI;;anemometro;deg;751055;42.8831027447861;11.6616225242615;1717391.08;4751286.43;910.00;10.00
TOS11000114;0;Abbadia S. S. - Laghetto Verde;Abbadia S.S.;SI;;anemometro;m/s;751056;42.8831027447861;11.6616225242615;1717391.08;4751286.43;910.00;10.00
TOS11000114;3;Abbadia S. S. - Laghetto Verde3;Abbadia S.S.;SI;;anemometro;m/s;751093;42.8831027447861;11.6616225242615;1717391.08;4751286.43;910.00;10.00
TOS11000114;0;Abbadia S. S. - Laghetto Verde;Abbadia S.S.;SI;;igrometro;%;751052;42.8831027447861;11.6616225242615;1717391.08;4751286.43;910.00;2.00
TOS11000114;0;Abbadia S. S. - Laghetto Verde;Abbadia S.S.;SI;;nivometro;m;751094;42.8831027447861;11.6616225242615;1717391.08;4751286.43;910.00;2.00
TOS11000114;0;Abbadia S. S. - Laghetto Verde;Abbadia S.S.;SI;;pluviometro;mm;751057;42.8831027447861;11.6616225242615;1717391.08;4751286.43;910.00;2.00
TOS11000114;0;Abbadia S. S. - Laghetto Verde;Abbadia S.S.;SI;;radiometro solare;W/mq;751054;42.8831027447861;11.6616225242615;1717391.08;4751286.43;910.00;2.00
TOS11000114;0;Abbadia S. S. - Laghetto Verde;Abbadia S.S.;SI;;termometro;�C;751051;42.8831027447861;11.6616225242615;1717391.08;4751286.43;910.00;2.00
TOS11000115;0;Abbadia S. S. - Vetta Amiata;Abbadia S.S.;SI;;anemometro;deg;747305;42.8901;11.6252;1714392.23;4751970.05;1678.00;10.00
TOS11000115;0;Abbadia S. S. - Vetta Amiata;Abbadia S.S.;SI;;anemometro;m/s;747306;42.8901;11.6252;1714392.23;4751970.05;1678.00;10.00
TOS11000115;0;Abbadia S. S. - Vetta Amiata;Abbadia S.S.;SI;;anemometro;m/s;747343;42.8901;11.6252;1714392.23;4751970.05;1678.00;10.00
TOS11000115;0;Abbadia S. S. - Vetta Amiata;Abbadia S.S.;SI;;barometro;mB;747303;42.8901;11.6252;1714392.23;4751970.05;1678.00;6.00
TOS11000115;0;Abbadia S. S. - Vetta Amiata;Abbadia S.S.;SI;;igrometro;%;747302;42.8901;11.6252;1714392.23;4751970.05;1678.00;3.00
TOS11000115;0;Abbadia S. S. - Vetta Amiata;Abbadia S.S.;SI;;nivometro;m;747344;42.8901;11.6252;1714392.23;4751970.05;1678.00;4.00
TOS11000115;0;Abbadia S. S. - Vetta Amiata;Abbadia S.S.;SI;;pluviometro;mm;747307;42.8901;11.6252;1714392.23;4751970.05;1678.00;3.00
TOS11000115;0;Abbadia S. S. - Vetta Amiata;Abbadia S.S.;SI;;radiometro solare;W/mq;747304;42.8901;11.6252;1714392.23;4751970.05;1678.00;6.00
TOS11000115;0;Abbadia S. S. - Vetta Amiata;Abbadia S.S.;SI;;termometro;�C;747301;42.8901;11.6252;1714392.23;4751970.05;1678.00;3.00
TOS19000115;1;Abbadia S. S. - Vetta Amiata1;Abbadia S.S.;SI;;anemometro;deg;811561;42.8901;11.6252;1714392.23;4751970.05;1678.00;10.00
TOS19000115;1;Abbadia S. S. - Vetta Amiata1;Abbadia S.S.;SI;;anemometro;m/s;811551;42.8901;11.6252;1714392.23;4751970.05;1678.00;10.00
TOS19000115;1;Abbadia S. S. - Vetta Amiata1;Abbadia S.S.;SI;;igrometro;%;811531;42.8901;11.6252;1714392.23;4751970.05;1678.00;3.00
TOS19000115;0;Abbadia S. S. - Vetta Amiata;Abbadia S.S.;SI;;nivometro;m;747345;42.8901;11.6252;1714392.23;4751970.05;1678.00;3.00
TOS19000115;1;Abbadia S. S. - Vetta Amiata1;Abbadia S.S.;SI;;pluviometro;mm;747327;42.8901;11.6252;1714392.23;4751970.05;1678.00;3.00
TOS19000115;1;Abbadia S. S. - Vetta Amiata1;Abbadia S.S.;SI;;termometro;�C;747321;42.8901;11.6252;1714392.23;4751970.05;1678.00;3.00
TOS07000001;0;Abbadia S. Salvatore;Abbadia S. Salvatore;SI;;pluviometro;mm;15201;42.8943436457514;11.6693687438965;1717984.09;4752554.84;855.00;2.00
TOS07000001;0;Abbadia S. Salvatore;Abbadia S. Salvatore;SI;;termometro;�C;15202;42.8943436457514;11.6693687438965;1717984.09;4752554.84;855.00;2.00
TOS11000094;0;Acquerino;Sambuca Pistoiese;PT;;igrometro;%;750202;44.0232663644;11.0252704749;1662341.9;4876466.82;950.00;
TOS11000094;0;Acquerino;Sambuca Pistoiese;PT;;pluviometro;mm;750207;44.0232663644;11.0252704749;1662341.9;4876466.82;950.00;
TOS11000094;0;Acquerino;Sambuca Pistoiese;PT;;radiometro solare;W/mq;750204;44.0232663644;11.0252704749;1662341.9;4876466.82;950.00;
TOS11000094;0;Acquerino;Sambuca Pistoiese;PT;;termometro;�C;750201;44.0232663644;11.0252704749;1662341.9;4876466.82;950.00;
TOS19000621;0;Acquerta;Cecina;LI;;freatimetro;m;760579;43.324880127318;10.525710837604;1623731.76;4798039.24;7.58;0.00
TOS19000621;0;Acquerta;Cecina;LI;;qualita;microS/cm;760585;43.324880127318;10.525710837604;1623731.76;4798039.24;7.58;0.00
TOS19000621;0;Acquerta;Cecina;LI;;termometro acqua;�C;760583;43.324880127318;10.525710837604;1623731.76;4798039.24;7.58;0.00
TOS11000077;0;Albano;Monsummano Terme;PT;;anemometro;deg;750955;43.8765290740426;10.8595333459538;1649426.23;4859855.79;465.00;
TOS11000077;0;Albano;Monsummano Terme;PT;;anemometro;m/s;750956;43.8765290740426;10.8595333459538;1649426.23;4859855.79;465.00;
TOS11000077;3;Albano3;Monsummano Terme;PT;;anemometro;m/s;750993;43.8765290740426;10.8595333459538;1649426.23;4859855.79;465.00;
TOS11000077;0;Albano;Monsummano Terme;PT;;barometro;mB;750953;43.8765290740426;10.8595333459538;1649426.23;4859855.79;465.00;
TOS11000077;0;Albano;Monsummano Terme;PT;;igrometro;%;750952;43.8765290740426;10.8595333459538;1649426.23;4859855.79;465.00;
TOS11000077;0;Albano;Monsummano Terme;PT;;pluviometro;mm;750957;43.8765290740426;10.8595333459538;1649426.23;4859855.79;465.00;
TOS11000077;0;Albano;Monsummano Terme;PT;;radiometro solare;W/mq;750954;43.8765290740426;10.8595333459538;1649426.23;4859855.79;465.00;
TOS11000077;0;Albano;Monsummano Terme;PT;;termometro;�C;750951;43.8765290740426;10.8595333459538;1649426.23;4859855.79;465.00;
TOS19000077;2;Albano2;Monsummano Terme;PT;;anemometro;deg;807761;43.8765618654789;10.8595380682414;1649426.53;4859859.44;465.00;3.00
TOS19000077;2;Albano2;Monsummano Terme;PT;;anemometro;m/s;807751;43.8765618654789;10.8595380682414;1649426.53;4859859.44;465.00;3.00
TOS19000077;1;Albano1;Monsummano Terme;PT;;barometro;mB;807771;43.8765618654789;10.8595380682414;1649426.53;4859859.44;465.00;
TOS19000077;1;Albano1;Monsummano Terme;PT;;igrometro;%;807731;43.8765618654789;10.8595380682414;1649426.53;4859859.44;465.00;
TOS19000077;1;Albano1;Monsummano Terme;PT;;pluviometro;mm;750977;43.8765618654789;10.8595380682414;1649426.53;4859859.44;465.00;
TOS19000077;1;Albano1;Monsummano Terme;PT;;radiometro solare;W/mq;807719;43.8765618654789;10.8595380682414;1649426.53;4859859.44;465.00;
TOS19000077;1;Albano1;Monsummano Terme;PT;;termometro;�C;750971;43.8765618654789;10.8595380682414;1649426.53;4859859.44;465.00;
TOS19000077;6;Albano6;Monsummano Terme;PT;;termometro;�C;807726;43.8765618654789;10.8595380682414;1649426.53;4859859.44;465.00;
TOS11000007;0;Albegna;Orbetello;GR;;anemometro;deg;500761;42.5267122631;11.2734941633;1686758.9;4710779.82;8.00;
TOS11000007;0;Albegna;Orbetello;GR;;anemometro;m/s;500751;42.5267122631;11.2734941633;1686758.9;4710779.82;8.00;
TOS11000007;3;Albegna3;Orbetello;GR;;anemometro;m/s;500755;42.5267122631;11.2734941633;1686758.9;4710779.82;8.00;
TOS11000007;0;Albegna;Orbetello;GR;;igrometro;%;500731;42.5267122631;11.2734941633;1686758.9;4710779.82;8.00;
TOS11000007;0;Albegna;Orbetello;GR;;pluviometro;mm;500701;42.5267122631;11.2734941633;1686758.9;4710779.82;8.00;
TOS11000007;0;Albegna;Orbetello;GR;;radiometro solare;W/mq;500719;42.5267122631;11.2734941633;1686758.9;4710779.82;8.00;
TOS11000007;0;Albegna;Orbetello;GR;;termometro;�C;500721;42.5267122631;11.2734941633;1686758.9;4710779.82;8.00;
TOS11000103;0;Alberese;Grosseto;GR;;igrometro;%;753102;42.6610918479;11.0170383112;1665338.9;4725168.82;1.00;
TOS11000103;0;Alberese;Grosseto;GR;;pluviometro;mm;753107;42.6610918479;11.0170383112;1665338.9;4725168.82;1.00;
TOS11000103;0;Alberese;Grosseto;GR;;radiometro solare;W/mq;510319;42.6610918479;11.0170383112;1665338.9;4725168.82;1.00;
TOS11000103;0;Alberese;Grosseto;GR;;termometro;�C;753101;42.6610918479;11.0170383112;1665338.9;4725168.82;1.00;
TOS02000228;0;Alpe S. Pellegrino;Castiglione di Garfagnana;LU;;pluviometro;mm;14036;44.1909166999761;10.4805600643158;1618351.58;4894159.46;1520.00;2.00
TOS19000639;0;Amatello 47;Campiglia M.ma;LI;;freatimetro;m;762929;43.0132224487;10.653702644;1634792.9;4763625.82;15.54;0.00
TOS19000639;0;Amatello 47;Campiglia M.ma;LI;;qualita;microS/cm;762935;43.0132224487;10.653702644;1634792.9;4763625.82;15.54;0.00
TOS19000639;0;Amatello 47;Campiglia M.ma;LI;;termometro acqua;�C;762933;43.0132224487;10.653702644;1634792.9;4763625.82;15.54;0.00
TOS03004563;0;Ambra;Bucine;AR;Ambra;idrometro;m;747509;43.4151230160343;11.6051063537598;1710936.89;4810227.49;;
TOS11000039;0;Anghiari;Anghiari;AR;;anemometro;deg;748955;43.5592947261819;12.0974015255405;1750198.36;4827604.49;312.00;
TOS11000039;0;Anghiari;Anghiari;AR;;anemometro;m/s;748956;43.5592947261819;12.0974015255405;1750198.36;4827604.49;312.00;
TOS11000039;3;Anghiari3;Anghiari;AR;;anemometro;m/s;748993;43.5592947261819;12.0974015255405;1750198.36;4827604.49;312.00;
TOS11000039;3;Anghiari3;Anghiari;AR;;barometro;mB;748953;43.5592947261819;12.0974015255405;1750198.36;4827604.49;312.00;
TOS11000039;0;Anghiari;Anghiari;AR;;igrometro;%;748952;43.5592947261819;12.0974015255405;1750198.36;4827604.49;312.00;
TOS11000039;0;Anghiari;Anghiari;AR;;pluviometro;mm;748957;43.5592947261819;12.0974015255405;1750198.36;4827604.49;312.00;
TOS11000039;0;Anghiari;Anghiari;AR;;radiometro solare;W/mq;748954;43.5592947261819;12.0974015255405;1750198.36;4827604.49;312.00;
TOS11000039;0;Anghiari;Anghiari;AR;;termometro;�C;748951;43.5592947261819;12.0974015255405;1750198.36;4827604.49;312.00;
TOS01002085;0;Anqua;Radicondoli;SI;;igrometro;%;743502;43.2152422191;10.9873096111;1661447.74;4786650.61;440.00;
TOS01002085;9;Anqua9;Radicondoli;SI;;igrometro;%;932768;43.2152422191;10.9873096111;1661447.74;4786650.61;440.00;
TOS01002085;0;Anqua;Radicondoli;SI;;pluviometro;mm;743507;43.2152422191;10.9873096111;1661447.74;4786650.61;440.00;
TOS01002085;9;Anqua9;Radicondoli;SI;;pluviometro;mm;932766;43.2152422191;10.9873096111;1661447.74;4786650.61;440.00;
TOS01002085;0;Anqua;Radicondoli;SI;;termometro;�C;743501;43.2152422191;10.9873096111;1661447.74;4786650.61;440.00;
TOS01002085;9;Anqua9;Radicondoli;SI;;termometro;�C;932767;43.2152422191;10.9873096111;1661447.74;4786650.61;440.00;
TOS03003118;0;Ansedonia;Orbetello;GR;Laguna;idrometro;m;757829;42.425181;11.2739;1687094.55;4699506.08;0.00;
TOS01001141;0;Antella;Bagno a Ripoli;FI;;pluviometro;mm;16859;43.7301038274;11.3299654778;1687679.9;4844550.82;170.00;2.00
TOS01001141;0;Antella;Bagno a Ripoli;FI;;termometro;�C;16860;43.7301038274;11.3299654778;1687679.9;4844550.82;170.00;
TOS11000049;0;Aquilea;Lucca;LU;;igrometro;%;753452;43.9136803352;10.5019687047;1620623.9;4863397.82;134.00;
TOS11000049;0;Aquilea;Lucca;LU;;pluviometro;mm;753457;43.9136803352;10.5019687047;1620623.9;4863397.82;134.00;
TOS11000049;0;Aquilea;Lucca;LU;;radiometro solare;W/mq;753454;43.9136803352;10.5019687047;1620623.9;4863397.82;134.00;
TOS11000049;0;Aquilea;Lucca;LU;;termometro;�C;753451;43.9136803352;10.5019687047;1620623.9;4863397.82;134.00;
TOS01000771;0;Arezzo;Arezzo;AR;;pluviometro;mm;;43.4715772332709;11.8928503990173;1734015.57;4817266.36;275.00;2.00
TOS01000771;0;Arezzo;Arezzo;AR;;pluviometro;mm;;43.4715772332709;11.8928503990173;1734015.57;4817266.36;275.00;2.00
TOS01000771;0;Arezzo;Arezzo;AR;;termometro;�C;;43.4715772332709;11.8928503990173;1734015.57;4817266.36;275.00;3.00
TOS01000771;0;Arezzo;Arezzo;AR;;termometro;�C;;43.4715772332709;11.8928503990173;1734015.57;4817266.36;275.00;3.00
TOS01000772;0;Arezzo - Fattoria San Fabiano;Arezzo;AR;;pluviometro;mm;738807;43.4771402;11.9037761692;1734877.77;4817915;305.00;2.00
TOS01000772;0;Arezzo - Fattoria San Fabiano;Arezzo;AR;;pluviometro;mm;738827;43.4771402;11.9037761692;1734877.77;4817915;305.00;2.00
TOS01000772;0;Arezzo - Fattoria San Fabiano;Arezzo;AR;;termometro;�C;738801;43.4771402;11.9037761692;1734877.77;4817915;305.00;3.00
TOS01000772;0;Arezzo - Fattoria San Fabiano;Arezzo;AR;;termometro;�C;738821;43.4771402;11.9037761692;1734877.77;4817915;305.00;3.00
TOS11000079;0;Argentario;Monte Argentario;GR;;anemometro;deg;753055;42.3867740446267;11.1695700779503;1678620.32;4695016.57;615.00;
TOS11000079;0;Argentario;Monte Argentario;GR;;anemometro;m/s;753056;42.3867740446267;11.1695700779503;1678620.32;4695016.57;615.00;
TOS11000079;3;Argentario3;Monte Argentario;GR;;anemometro;m/s;753093;42.3867740446267;11.1695700779503;1678620.32;4695016.57;615.00;
TOS11000079;0;Argentario;Monte Argentario;GR;;barometro;mB;753053;42.3867740446267;11.1695700779503;1678620.32;4695016.57;615.00;
TOS11000079;0;Argentario;Monte Argentario;GR;;igrometro;%;753052;42.3867740446267;11.1695700779503;1678620.32;4695016.57;615.00;
TOS11000079;0;Argentario;Monte Argentario;GR;;pluviometro;mm;753057;42.3867740446267;11.1695700779503;1678620.32;4695016.57;615.00;
TOS11000079;0;Argentario;Monte Argentario;GR;;radiometro solare;W/mq;753054;42.3867740446267;11.1695700779503;1678620.32;4695016.57;615.00;
TOS11000079;0;Argentario;Monte Argentario;GR;;termometro;�C;753051;42.3867740446267;11.1695700779503;1678620.32;4695016.57;615.00;
